kind,dcs_category,native_id,identifier,name,phys_type,positions,routing,address,value_range,ifaces,fw_class
input,Start,0,THROTTLE_CLICK,Throttle Position Lock,default_3_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state",Switch3Pos
input,Mechanical Systems,8,GEAR_HANDLE,Landing Gear Handle,default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,10,HOOK_HANDLE,Arresting Hook Handle,default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,Ejection Seat,24,HARNESS_REEL_CONTR,Shoulder Harness Control Handle,default_2_position_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state,action",Switch2Pos
input,Ejection Seat,25,SEC_EJECT_HANDLE,Alternate Ejection Handle,default_2_position_tumb,,DCS-BIOS,0x8544,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,82,RUDDER_TRIM,Rudder Trim Switch,default_axis_limited,,DCS-BIOS,0x850C,,"set_state,variable_step",AnalogInput
input,OFF,83,LIGHT_EXT_MASTER,Master Exterior Lights Switch,multiposition_switch_limited,,DCS-BIOS,0x8522,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Mechanical Systems,84,SPOILER_ARM,Spoiler Arm Switch,default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,85,SPEEDBRAKE,Speedbrake Switch,default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,100,STARTER_BTN,Engine Starter Switch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Fuel Systems,101,DROP_PRESS_REFUEL,Drop Tank Pressurization Switch,default_3_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state",Switch3Pos
input,Fuel Systems,103,EMERG_TRANS_FUEL_DUMP,Fuel Dump Switch,default_3_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state",Switch3Pos
